id,Date,Hour,Timestamp,Start_Time,End_Time,Duration,Text,TV,Topic,Speakers,Program_Type,Person,Designation,Orgs,Groups,Location,media_link,image_link
1,3/1/2024,1445-1454,00:00:00 - 00:00:04,0:00:00,0:00:04,4,"In the name of Allah, the most merciful, the most compassionate",,HL,"SPEAKER_01, SPEAKER_00",,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
2,3/1/2024,1445-1454,00:00:04 - 00:00:08,0:00:04,0:00:08,4,Honorable members of the National Assembly of Pakistan,,HL,SPEAKER_00,,,,the National Assembly of Pakistan,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
3,3/1/2024,1445-1454,00:00:08 - 00:00:16,0:00:08,0:00:16,8,I am extremely humble and humble in front of the Lord of Glory,,HL,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
4,3/1/2024,1445-1454,00:00:16 - 00:00:23,0:00:16,0:00:23,7,"Who has awarded this humble servant of His, the third time, this noble post",,HL,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
5,3/1/2024,1445-1454,00:00:22 - 00:00:30,0:00:22,0:00:30,8,for the third time.,,HL,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
6,3/1/2024,1445-1454,00:00:32 - 00:00:34,0:00:32,0:00:34,2,"For the third time, I thank my leader",,HL,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
7,3/1/2024,1445-1454,00:00:34 - 00:00:36,0:00:34,0:00:36,2,Mian Muhammad Nawaz Sharif,,HL,SPEAKER_00,,Mian Muhammad Nawaz Sharif,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
8,3/1/2024,1445-1454,00:00:36 - 00:00:38,0:00:36,0:00:38,2,for appointing me,,HL,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
9,3/1/2024,1445-1454,00:00:38 - 00:00:40,0:00:38,0:00:40,2,for this post.,,HL,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
10,3/1/2024,1445-1454,00:00:42 - 00:00:44,0:00:42,0:00:44,2,He trusted me.,,HL,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
11,3/1/2024,1445-1454,00:00:49 - 00:00:54,0:00:49,0:00:54,5,"I am President of Muslim League Noon, Mr. Shahbaz Sharif with whom I had the opportunity to work in the last 5 years",,HL,SPEAKER_00,,Shahbaz Sharif,,Muslim League Noon,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
12,3/1/2024,1445-1454,00:00:54 - 00:00:57,0:00:54,0:00:57,3,and I have learned a lot from him.,,HL,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
13,3/1/2024,1445-1454,00:00:57 - 00:01:01,0:00:57,0:01:01,4,I am thankful to him and all the members of my community.,,HL,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
14,3/1/2024,1445-1454,00:01:03 - 00:01:12,0:01:03,0:01:12,9,"Along with that, I am thankful to President Asif Ali Zardari for giving me the third trust vote.",,HL,SPEAKER_00,,Asif Ali Zardari,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
15,3/1/2024,1445-1454,00:01:12 - 00:01:34,0:01:12,0:01:34,22,I am also thankful to Chairman Bilawar parliamentary leader Dr. Khalid Maqbool Siddiqui and his Jamaat who gave me the trust vote for the second time.,,HL,SPEAKER_00,,"Bilawar, Khalid Maqbool Siddiqui",,Jamaat,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
16,3/1/2024,1445-1454,00:01:34 - 00:01:45,0:01:34,0:01:45,11,I am thankful to Pakistan Muslim League's President Chaudhry Shujaat Hussain and Salik Hkhan who proposed me for this post.,,HL,SPEAKER_00,,"Chaudhry Shujaat Hussain, Salik Hkhan",,Pakistan Muslim League's,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
17,3/1/2024,1445-1454,00:01:54 - 00:01:55,0:01:54,0:01:55,1,"I am thankful to Mr. Ali Imkhan, President of Istiqam Party, who voted for me for this post.",,HL,SPEAKER_00,,Ali Imkhan,,Istiqam Party,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
18,3/1/2024,1445-1454,00:02:07 - 00:02:15,0:02:07,0:02:15,8,"I am thankful to my younger brother, Khalid Maqsi, Leader of Khalid Maqsi sahib, who trusted me. I thank the voters and supporters of NA120.",,HL,SPEAKER_00,,"Khalid Maqsi, Khalid Maqsi",,NA120,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
19,3/1/2024,1445-1454,00:02:15 - 00:02:29,0:02:15,0:02:29,14,"Especially Sohail Shaukat Butt, Malik Habib Awad, Naeem Shehzad Bhatti and other workers who have worked hard to bring me to this position.",,HL,SPEAKER_00,,"Sohail Shaukat Butt, Malik Habib Awad, Naeem Shehzad Bhatti",,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
40,3/1/2024,1445-1454,00:05:04 - 00:05:09,0:05:04,0:05:09,5,"Except for the one who shows me this animal and makes me speak,",,HL,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
20,3/1/2024,1445-1454,00:02:29 - 00:02:53,0:02:29,0:02:53,24,I thank respected Amir Dogar for his contribution to the democratic process and for strengthening the democracy,,HL,SPEAKER_00,,Amir Dogar,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
21,3/1/2024,1445-1454,00:02:53 - 00:03:02,0:02:53,0:03:02,9,"Amir Dogar, you have always called me with respect as a brother and I will continue to do so",,HL,SPEAKER_00,,Amir Dogar,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
22,3/1/2024,1445-1454,00:03:02 - 00:03:10,0:03:02,0:03:10,8,"I will become a big brother and show you. My speaker Asad Qaisar, whom I always call a speaker,",,HL,SPEAKER_00,,Asad Qaisar,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
23,3/1/2024,1445-1454,00:03:10 - 00:03:14,0:03:10,0:03:14,4,"my brother Ali Muhammad, Sheryar Afridi,",,HL,SPEAKER_00,,"Ali Muhammad, Sheryar Afridi",,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
24,3/1/2024,1445-1454,00:03:14 - 00:03:16,0:03:14,0:03:16,2,"and many of my friends and brothers,",,HL,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
25,3/1/2024,1445-1454,00:03:16 - 00:03:19,0:03:16,0:03:19,3,"with whom I have given a heart-to-heart dialogue,",,HL,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
26,3/1/2024,1445-1454,00:03:19 - 00:03:21,0:03:19,0:03:21,2,which is not only political.,,HL,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
27,3/1/2024,1445-1454,00:03:21 - 00:03:29,0:03:21,0:03:29,8,And there is no difference between me and you. I am an MNA like you.,,HL,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
28,3/1/2024,1445-1454,00:03:29 - 00:03:35,0:03:29,0:03:35,6,And the responsibility that I have been given is a temporary responsibility.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
29,3/1/2024,1445-1454,00:03:35 - 00:03:59,0:03:35,0:03:59,24,"And this temporary responsibility ends in a part of a car, and I will try to drive it in a better way.",,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
30,3/1/2024,1445-1454,00:03:59 - 00:04:06,0:03:59,0:04:06,7,"And when I am not on this chair, I am on this chair on this chair, but I am your brother and friend on this chair.",,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
31,3/1/2024,1445-1454,00:04:06 - 00:04:11,0:04:06,0:04:11,5,New relations are also formed with the politics.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
32,3/1/2024,1445-1454,00:04:11 - 00:04:17,0:04:11,0:04:17,6,"And we have seen that in my 23 years of politics, such friendships have been formed, such brotherhood,",,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
33,3/1/2024,1445-1454,00:04:17 - 00:04:21,0:04:17,0:04:21,4,which I consider to be an asset of mine.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
34,3/1/2024,1445-1454,00:04:21 - 00:04:30,0:04:21,0:04:30,9,"And they will remain for the rest of their lives. Differences will be in their place, but the relations of respect and connection will be maintained.",,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
35,3/1/2024,1445-1454,00:04:30 - 00:04:38,0:04:30,0:04:38,8,"The doors of the Speaker's office are always open for all of you, and please consider it your office.",,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
36,3/1/2024,1445-1454,00:04:38 - 00:04:46,0:04:38,0:04:46,8,And I am sure you will remember the past when this office was yours.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
37,3/1/2024,1445-1454,00:04:46 - 00:04:53,0:04:46,0:04:53,7,I will repeat the historical words of 16th century British speaker William Lenton.,,,SPEAKER_00,,William Lenton,,,British,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
38,3/1/2024,1445-1454,00:04:53 - 00:04:55,0:04:53,0:04:55,2,These are the words that touch the heart.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
39,3/1/2024,1445-1454,00:04:55 - 00:05:04,0:04:55,0:05:04,9,"In this beast, I have neither my own eyes to see nor my own tongue to speak.",,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
41,3/1/2024,1445-1454,00:05:09 - 00:05:13,0:05:09,0:05:13,4,I will be loyal to this animal.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
42,3/1/2024,1445-1454,00:05:13 - 00:05:22,0:05:13,0:05:22,9,It will be my responsibility to let you speak and speak as little as possible,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
43,3/1/2024,1445-1454,00:05:22 - 00:05:28,0:05:22,0:05:28,6,so that you can use this public better than your opinion.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
44,3/1/2024,1445-1454,00:05:29 - 00:05:35,0:05:29,0:05:35,6,My request to the government and opposition benches is that they must disagree because,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
45,3/1/2024,1445-1454,00:05:35 - 00:05:40,0:05:35,0:05:40,5,"disagreement is the beauty of democracy, but they should disagree for the betterment of the country and nation,",,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
46,3/1/2024,1445-1454,00:05:40 - 00:05:43,0:05:40,0:05:43,3,not for personal gains.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
47,3/1/2024,1445-1454,00:05:43 - 00:05:44,0:05:43,0:05:44,1,and to improve the country and the nation.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
48,3/1/2024,1445-1454,00:05:50 - 00:05:51,0:05:50,0:05:51,1,The job of the government is to show efficiency and to get the country out of the way.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
49,3/1/2024,1445-1454,00:05:54 - 00:05:55,0:05:54,0:05:55,1,Whereas the job of the opposition is to criticize for its reformation.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
50,3/1/2024,1445-1454,00:05:59 - 00:06:00,0:05:59,0:06:00,1,"Therefore, these people are incomplete without the government and the opposition.",,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
51,3/1/2024,1445-1454,00:06:01 - 00:06:02,0:06:01,0:06:02,1,They are not incomplete without God's will.,,,SPEAKER_00,,,,,,,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
52,3/1/2024,1445-1454,00:06:09 - 00:06:18,0:06:09,0:06:18,9,"Today, the sanctions that have come in our country that have been promoted, have caused a lot of damage to Pakistan. Therefore, I would like to build a national consensus with your cooperation.",,,SPEAKER_00,,,,,,Pakistan,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.mp4,../../resources/ptvnews/streaming1/01-03-2024-Ayaz_Sadiq_first_speech_2024_samaatv\01-03-2024.png
